"row_id","vehicle_id","latitude","longitude","distance_from_prev_point","worker_id"
"44","1201369","31.96371","34.94217",495,6
"45","1201369","31.96395","34.94221",27,7
"46","1201369","31.96434","34.94233",45,8
"47","1201369","31.96462","34.94248",34,3
"51","1201369","31.97602","34.94841",1387,1
"54","1201369","31.98007","34.95079",504,2
"58","1201369","31.98314","34.95204",362,4
"59","1201369","31.98338","34.952",27,5
"60","1201369","31.98342","34.95198",5,6
"62","1201369","31.98357","34.95174",28,7
"63","1201369","31.98355","34.95174",2,8
"65","1201369","31.98358","34.95172",4,3
"66","1201369","31.9846","34.95159",114,1
"69","1201369","31.9876","34.95081",342,2
"70","1201369","31.9893","34.95099",190,4
"74","1201369","31.99545","34.95168",688,5
"78","1201369","32.00291","34.95339",846,6
"79","1201369","32.00457","34.95376",188,7
"81","1201369","32.0114","34.95359",760,8
"82","1201369","32.01213","34.95356",81,3
"83","1201369","32.0135","34.95352",153,1
"88","1201369","32.01887","34.95367",598,2
"94","1201369","32.02425","34.95388",599,4
"99","1201369","32.02575","34.95397",167,5
"121","1201369","32.03025","34.9545",503,6
"128","1201369","32.03181","34.95493",178,7
"131","1201369","32.0346","34.95581",321,8
"134","1201369","32.03614","34.95539",176,3
"135","1201369","32.03664","34.95507",63,1
"137","1201369","32.03711","34.95465",66,2
"143","1201369","32.04129","34.94965",663,4
"147","1201369","32.04721","34.94507",788,5
"149","1201369","32.04933","34.94405",255,6
"154","1201369","32.05248","34.94352",354,7
"155","1201369","32.05261","34.94347",15,8
"159","1201369","32.05253","34.94358",14,3
"161","1201369","32.05372","34.94357",132,1
"170","1201369","32.05372","34.94349",8,2
"176","1201369","32.05832","34.94312",513,4
"181","1201369","32.06303","34.94282",525,5
"184","1201369","32.06648","34.94373",394,6
"185","1201369","32.06849","34.94459",238,7
"189","1201369","32.06844","34.94455",7,8
"191","1201369","32.0711","34.94543",308,3
"193","1201369","32.07393","34.94689",344,1
"196","1201369","32.08074","34.95117",859,2
"200","1201369","32.08281","34.95226",252,4
"201","1201369","32.08372","34.95245",103,5
"202","1201369","32.0838","34.95241",10,6
"204","1201369","32.08382","34.95239",3,7
"206","1201369","32.08382","34.9523",8,8
"207","1201369","32.08511","34.95152",161,3
"208","1201369","32.08529","34.95127",31,1
"209","1201369","32.08554","34.95085",48,2
"212","1201369","32.08703","34.94756",352,4
"221","1201369","32.09404","34.93918",1111,5
"223","1201369","32.09623","34.93584",398,6
"224","1201369","32.09668","34.93543",63,7
"225","1201369","32.097","34.93522",41,8
"227","1201369","32.09913","34.93521",237,3
"232","1201369","32.10566","34.93626",734,1
"239","1201369","32.10555","34.93628",12,2
"240","1201369","32.1056","34.9363",6,4
"245","1201369","32.11222","34.93777",750,5
"246","1201369","32.11263","34.93809",55,6
"249","1201369","32.11427","34.93985",247,7
"254","1201369","32.11443","34.94033",49,8
"255","1201369","32.11451","34.94042",12,3
"85","1249503","32.09092","34.80581",0,-1
"86","1249503","32.09094","34.80589",8,1
"87","1249503","32.09094","34.80591",2,2
"89","1249503","32.0909","34.80595",6,3
"91","1249503","32.08972","34.80603",132,4
"92","1249503","32.08969","34.806",4,5
"93","1249503","32.08967","34.80598",3,6
"95","1249503","32.08983","34.80545",53,7
"96","1249503","32.08978","34.80532",13,8
"97","1249503","32.08963","34.80524",18,1
"98","1249503","32.08908","34.8049",69,2
"100","1249503","32.08886","34.80436",57,3
"104","1249503","32.08884","34.80434",3,4
"109","1249503","32.089","34.80413",27,5
"110","1249503","32.08903","34.80403",10,7
"111","1249503","32.08901","34.80396",7,8
"112","1249503","32.08897","34.80393",5,6
